######################################################################################################
# chan      Xsec[pb]        kFact       filtereff   HistSvc_name    physically_descriptive_name
######################################################################################################

# XS from LHCHXSWG  https://twiki.cern.ch/twiki/bin/view/LHCPhysics/CERNYellowReportPageAt1314TeV#s_13_0_TeV
167759   10468.00           1.0            0.323500       Z                        Sherpa_CT10_ZnunuMassiveCBPt0_CFilterBVeto                         
167760   10439.00           1.0            0.637270       Z                        Sherpa_CT10_ZnunuMassiveCBPt0_CVetoBVeto                           
167806   377.8500           1.0            0.103100       Z                        Sherpa_CT10_ZnunuMassiveCBPt70_140_BFilter                         
167807   377.0800           1.0            0.390540       Z                        Sherpa_CT10_ZnunuMassiveCBPt70_140_CFilterBVeto                    
167808   377.4300           1.0            0.506340       Z                        Sherpa_CT10_ZnunuMassiveCBPt70_140_CVetoBVeto                      
167818   60.02000           1.0            0.119570       Z                        Sherpa_CT10_ZnunuMassiveCBPt140_280_BFilter                        
167819   60.23900           1.0            0.404750       Z                        Sherpa_CT10_ZnunuMassiveCBPt140_280_CFilterBVeto                   
167820   60.23000           1.0            0.471310       Z                        Sherpa_CT10_ZnunuMassiveCBPt140_280_CVetoBVeto                     
167830   4.666400           1.0            0.134930       Z                        Sherpa_CT10_ZnunuMassiveCBPt280_500_BFilter                        
167831   4.656400           1.0            0.423940       Z                        Sherpa_CT10_ZnunuMassiveCBPt280_500_CFilterBVeto                   
167832   4.664900           1.0            0.442260       Z                        Sherpa_CT10_ZnunuMassiveCBPt280_500_CVetoBVeto                     
167842   0.379210           1.0            0.146850       Z                        Sherpa_CT10_ZnunuMassiveCBPt500_BFilter                            
167843   0.378430           1.0            0.436760       Z                        Sherpa_CT10_ZnunuMassiveCBPt500_CFilterBVeto                       
167844   0.376940           1.0            0.415620       Z                        Sherpa_CT10_ZnunuMassiveCBPt500_CVetoBVeto                         
# Sherpa v2.1.1 V+jets
# Zll samples, Cross sections, k-factors to NNLO, efficiencies from
# https://twiki.cern.ch/twiki/bin/view/AtlasProtected/MC15ZjetsSherpaLightSamplesPMG
